NC-PED-rand-000001	a4792137-r0000003		20111231-041254
NC-PED-rand-001925	a5140447-r0000115		20130908-142903
NC-PED-rand-001926	a4516488-r0019842		20130706-150848
NC-PED-rand-001927	a4358759-r0000012		20130815-212035
NC-PED-rand-001928	a4520123-r0000835		20110529-153229
NC-PED-rand-001929	a4784183-r0000002		20130703-131110
NC-PED-rand-001930	a0455869-r0007419		20101104-202111
NC-PED-rand-001931	a4775789-r0000330		20120306-072740
NC-PED-rand-001932	a0419082-r0000036		20091202-194808
NC-PED-rand-001933	a4592077-r0000264		20110325-233111
NC-PED-rand-001934	a0422017-r0001505		20110531-143038
NC-PED-rand-001935	a4468301-r0000028		20130904-154530
NC-PED-rand-001936	a0331198-r0000022		20090414-162751
NC-PED-rand-001937	a0480340-r0664859		20110819-222142
NC-PED-rand-001938	a0455869-r0005967		20101017-075303
NC-PED-rand-001939	a4427015-r0000027		20120924-185146
NC-PED-rand-001940	a2837459-r0000010		20090530-011654
NC-PED-rand-001941	a4584594-r0000036		20110325-220811
NC-PED-rand-001942	a4481292-r0000128		20120910-152828
NC-PED-rand-001943	a0190227-r0007248		20130614-190405
NC-PED-rand-001944	a4667309-r0000007		20120612-175312
NC-PED-rand-001945	a4667398-r0000359		20110720-215631
NC-PED-rand-001946	a4133117-r0000027		20111015-052024
NC-PED-rand-001947	a0060374-r0003117		20130711-095626
NC-PED-rand-001948	a3669718-r0005190		20120611-215257
NC-PED-rand-001949	a4680708-r0000118		20120824-231054
NC-PED-rand-001950	a0504031-r0000026		20090202-001435
NC-PED-rand-001951	a0614941-r0007046		20120112-235826
NC-PED-rand-001952	a5120187-r0001328		20131101-114207
NC-PED-rand-001953	a4553407-r0000669		20110609-124608
NC-PED-rand-001954	a4311727-r0000033		20100805-105209
NC-PED-rand-001955	a0159512-r0000054		20090127-235444
NC-PED-rand-001956	a0480340-r0538015		20110702-103610
NC-PED-rand-001957	a0421353-r0002798		20120404-021937
NC-PED-rand-001958	a4273637-r0000059		20130902-102637
NC-PED-rand-001959	a5049586-r0004414		20130827-001141
NC-PED-rand-001960	a0123574-r0000145		20100501-193630
NC-PED-rand-001961	a0763200-r0000420		20090321-080151
NC-PED-rand-001962	a4493944-r0003715		20110224-162947
NC-PED-rand-001963	a4450089-r0000012		20100831-010431
NC-PED-rand-001964	a0453684-r0000055		20140206-224726
NC-PED-rand-001965	a0422017-r0001250		20101118-002543
NC-PED-rand-001966	a4817910-r0000188		20120325-221430
NC-PED-rand-001967	a4604773-r0000018		20110926-233632
NC-PED-rand-001968	a0118257-r0000759		20090528-212747
NC-PED-rand-001969	a4130998-r0000109		20110710-104631
NC-PED-rand-001970	a0624078-r0000006		20081010-033214
NC-PED-rand-001971	a4193427-r0000006		20120228-074408
NC-PED-rand-001972	a4696093-r0000427		20130131-182256
NC-PED-rand-001973	a0532824-r0000391		20110101-170918
NC-PED-rand-001974	a4746289-r0000892		20140207-133833
NC-PED-rand-001975	a0116181-r0000433		20090621-235245
NC-PED-rand-001976	a4547274-r0001433		20120710-004816
NC-PED-rand-001977	a4548603-r0002613		20120227-193629
NC-PED-rand-001978	a3338588-r0000046		20110905-193118
NC-PED-rand-001979	a0228611-r0000190		20100727-120039
NC-PED-rand-001980	a4843186-r0000002		20120319-235058
NC-PED-rand-001981	a0480340-r1322226		20120923-230409
NC-PED-rand-001982	a0000352-r0002646		20120609-145528
NC-PED-rand-001983	a4275801-r0000007		20100204-184602
NC-PED-rand-001984	a4963577-r0000132		20121225-211423
NC-PED-rand-001985	a4752259-r0000311		20120506-142920
NC-PED-rand-001986	a0186459-r0003794		20131001-221251
NC-PED-rand-001987	a4363235-r0000107		20100523-071909
NC-PED-rand-001988	a1853341-r0000005		20090513-035645
NC-PED-rand-001989	a4653250-r0000309		20130629-184535
NC-PED-rand-001990	a0264830-r0000003		20080625-151043
NC-PED-rand-001991	a0000417-r0000734		20100410-104525
NC-PED-rand-001992	a4960727-r0001003		20121118-063734
NC-PED-rand-001993	a4690336-r0000572		20120212-154335
NC-PED-rand-001994	a4265584-r0000244		20120928-224524
NC-PED-rand-001995	a0000319-r0001011		20101211-190609
NC-PED-rand-001996	a4025082-r0000004		20110128-201344
NC-PED-rand-001997	a0069341-r0000201		20110330-014827
NC-PED-rand-001998	a4141614-r0000007		20130616-070627
NC-PED-rand-001999	a4926283-r0000061		20130720-222352
NC-PED-rand-002000	a0137019-r0000077		20120619-171328
